cpu,dahili_hafiza,ekran_boyutu,kamera_cozunurlugu,mobil_baglanti_hizi,pil_gucu,ram_kapasitesi,on_kamera_cozunurluk,isletim_sistemi,brands,price
2.5,128,6.0,20,5.0,4000,4,15,0,19,6399.0
3.2,128,6.6,63,5.0,5000,8,40,0,19,10299.0
3.5,128,8.0,60,4.5,5000,8,10,0,25,7549.0
3.2,128,6.1,15,4.5,2815,4,15,1,1,28299.0
2.0,128,6.7,10,4.5,5000,4,60,0,18,3029.0
3.5,128,4.5,5,4.0,1500,4,10,0,25,6099.0
2.5,128,6.0,20,5.0,4000,4,15,0,19,6399.0
3.2,256,6.67,118,4.5,5000,8,20,0,25,12599.0
2.4,128,8.0,60,4.5,5000,8,10,0,25,7549.0
2.0,8,6.1,12,4.0,3900,4,30,0,1,28299.0
2.5,128,6.1,20,5.0,3000,6,15,1,1,50999.0
3.0,4,6.7,13,4.0,6000,4,60,0,18,3039.0
2.5,256,6.1,20,5.0,3000,6,15,1,1,54499.0
3.5,128,6.6,88,4.5,4500,8,120,0,25,8719.0
1.5,4,6.7,13,3.0,4000,6,80,0,1,56999.0
3.2,256,6.67,118,4.5,5000,8,20,0,25,12369.0
2.5,256,6.7,20,5.0,4000,6,60,1,1,60999.0
2.0,128,6.7,50,4.5,4000,4,80,0,30,5349.0
2.8,8,6.7,118,4.0,4000,8,80,0,16,15099.0
3.2,128,6.6,63,5.0,5000,8,40,0,19,10299.0
3.0,128,6.7,20,4.0,5000,6,80,0,30,6639.0
2.8,128,4.5,5,4.0,1500,4,10,0,25,6099.0
2.8,256,6.53,50,5.0,5000,6,10,0,25,10299.0
3.5,128,8.0,60,4.5,5000,8,10,0,25,7549.0
1.5,128,4.5,5,4.0,1500,4,10,0,25,6099.0
2.0,512,6.7,120,4.5,4500,12,120,0,12,32999.0
2.5,512,6.1,20,5.0,3000,6,15,1,1,61299.0
2.4,128,8.0,50,4.5,5000,4,10,0,25,7099.0
1.0,128,4.5,5,4.5,1500,4,10,0,19,7532.0
2.5,256,6.1,20,5.0,3000,6,15,1,1,54499.0
1.5,256,6.8,20,4.5,5000,8,40,0,23,7449.0
2.0,128,6.0,20,4.5,4000,6,15,0,19,8625.0
3.2,128,6.1,15,4.5,2815,4,15,1,1,28299.0
2.0,256,6.6,72,4.5,5000,8,80,0,18,5090.0
3.5,256,6.7,20,4.0,5000,8,80,0,30,7803.0
2.5,256,6.7,20,5.0,4000,6,60,1,1,60999.0
3.2,256,6.4,67,5.0,5000,8,40,0,19,15999.0
2.5,128,6.7,20,5.0,4000,6,60,1,1,56999.0
2.5,256,6.0,50,4.5,5000,16,20,0,6,9276.0
2.5,256,6.1,20,5.0,3000,6,15,1,1,53499.0
2.8,128,6.7,20,4.0,5000,6,80,0,30,6550.0
3.0,16,6.1,82,3.0,20000,4,120,1,1,27299.0
3.5,256,6.0,54,4.0,5020,8,20,0,31,9390.0
2.5,512,6.7,20,5.0,4000,6,60,1,1,66999.0
2.8,256,6.67,82,4.5,5000,16,40,0,23,8773.0
3.0,256,7.0,88,4.0,4780,12,60,0,12,29999.0
1.0,1024,8.0,13,3.0,2800,6,100,0,23,6049.0
2.5,128,6.7,20,5.0,4000,6,60,1,1,56399.0
2.0,256,6.6,72,4.5,5000,8,80,0,18,5145.0
2.5,128,8.0,20,4.5,4000,4,15,0,19,7060.0
2.5,512,6.1,20,5.0,3000,6,15,1,1,61299.0
2.0,1024,6.7,57,4.0,4500,6,100,1,1,56999.0
2.8,128,8.0,60,4.5,5000,8,10,0,25,7677.0
2.5,512,6.1,20,5.0,3000,6,15,1,1,61299.0
1.0,1024,4.5,13,5.5,3095,8,80,1,31,83285.0
3.5,256,7.0,88,4.0,4780,12,60,0,12,29999.0
2.0,128,6.0,20,4.5,3000,4,10,0,18,27939.0
2.5,256,6.7,20,5.0,4000,6,60,1,1,60999.0
2.0,256,6.0,20,4.5,3000,8,15,0,19,23749.0
2.5,256,6.7,20,5.0,4000,6,60,1,1,60999.0
3.5,256,7.0,88,4.0,5020,8,120,0,23,9999.0
