Ana Kamera FlaÅŸ,Ana Kamera Flaş,Ana Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k AralÄ±ÄŸÄ±,Ana Kamera Çözünürlük Aralığı,Arka Kamera SayÄ±sÄ±,Arka Kamera Sayısı,ArttÄ±rÄ±labilir HafÄ±za (HafÄ±za KartÄ± DesteÄŸi),Arttırılabilir Hafıza (Hafıza Kartı Desteği),Ağırlık,Batarya Kapasitesi AralÄ±ÄŸÄ±,Batarya Kapasitesi Aralığı,BaÄŸlantÄ±lar,Bağlantılar,Bluetooth,CPU AralÄ±k,CPU Aralık,Cep Telefonu Modeli,Dahili HafÄ±za,Dahili Hafıza,Dokunmatik Ekran,Ekran Boyut AralÄ±ÄŸÄ±,Ekran Boyut Aralığı,Ekran Boyutu,Ekran Boyutu Aralığı,Ekran Cinsi,Ekran Teknolojisi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Ekran Çözünürlüğü,GPS,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¶rÃ¼ntÃ¼ Teknolojisi,GÃ¶rÃ¼ntÃ¼lÃ¼ KonuÅŸma,Görüntü Teknolojisi,Görüntülü Konuşma,Kablosuz Åžarj,Kablosuz Şarj,Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Kamera Çözünürlüğü,Kozmetik Durum,KulaklÄ±k GiriÅŸi,Kulaklık Girişi,Mobil BaÄŸlantÄ± HÄ±zÄ±,Mobil Bağlantı Hızı,NFC,Parmak Ä°zi Okuyucu,Parmak İzi Okuyucu,Pil GÃ¼cÃ¼ (mAh),Pil Gücü (mAh),RAM Kapasitesi,Radio,Renk,Suya/Toza DayanÄ±klÄ±lÄ±k,Suya/Toza Dayanıklılık,Video KayÄ±t Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Video Kayıt Çözünürlüğü,YÃ¼z TanÄ±ma,Yüz Tanıma,Ã–n Kamera FlaÅŸ,Ã–n Kamera SayÄ±sÄ±,Ã–n Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k AralÄ±ÄŸÄ±,Ã–n Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Ã‡ift Hat,Ä°ÅŸlemci MarkasÄ±,Ä°ÅŸletim Sistemi,Åžarj GiriÅŸi,Åžarj HÄ±zÄ±,Çift Hat,Ön Kamera Flaş,Ön Kamera Sayısı,Ön Kamera Çözünürlük Aralığı,Ön Kamera Çözünürlüğü,İşlemci Markası,İşletim Sistemi,Şarj Girişi,Şarj Hızı,url,price,brands
,Var,,10 - 15 MP,,3,,Var,,,5000-6000 mAh,,Wi-Fi,Var,,2.0-2.5 GHz,Galaxy M14,,128 GB,Var,,6.5'' - 7'',6 inç ve üstü,,PLS,FHD+,,90 Hz,,FHD+,Var,,2 Yıl,Samsung TR Garantili,,,,Var,,Yok,,20 MP ve üstü,,,3.5 mm,,5G,Yok,,Var,,4000 - 5000,4 GB,Yok,Gümüş,,Yok,,1080p (Full HD),,Yok,,,,,,,,,,Var,Yok,1,10 - 15 MP,13 MP,,Android,USB Type-C,20-40 W,https://www.trendyol.com//samsung/galaxy-m14-5g-128-gb-gumus-cep-telefonu-samsung-turkiye-garantili-p-675529310,6.399 TL,Samsung
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//xiaomi/redmi-12c-128-gb-4-gb-ram-gri-cep-telefonu-xiaomi-turkiye-garantili-p-666265944?advertItems=eyJhZHZlcnRJZCI6Ijc3NzgxNzA2LTc4NDgtNDVkYS04ODM2LTYyMTJiZWNlNDNkNyIsInNvcnRpbmdTY29yZSI6MC4wOTk3ODI3MzYxMDc3MDcwNSwiYWRTY29yZSI6MC4wNTc3NzgwNzUzMzc0MDk5NywiYWRTY29yZXMiOnsiMSI6MC4wNTc3NzgwNzUzMzc0MDk5NywiMiI6MC4wNTc3NzgwNzUzMzc0MDk5N30sImNwYyI6MS43MjcwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAsImVDcGMiOjAuOTA5NjI5ODcxODU5NDQzOCwiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjEsImF0dHJpYnV0ZXMiOiIifQ==,5.149 TL,Xiaomi
,Var,,10 - 15 MP,,3,,Var,,,5000-6000 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,Galaxy A34,,128 GB,Var,,6.5'' - 7'',"6,6 inç",,AMOLED,FHD+,,120 Hz,,FHD+,Var,,2 Yıl,Samsung TR Garantili,,,,Var,,Var,,48MP + 8MP + 5MP + 2MP,,,USB Type-C,,5G,Var,,Var,,5000,8 GB,,Siyah,,Yok,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Var,Var,1,20 - 40 MP,13 MP,MediaTek,Android,USB Type-C,20-40 W,https://www.trendyol.com//samsung/galaxy-a34-5g-128-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-679425557,10.299 TL,Samsung
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/iphone-15-128-gb-pembe-p-762254841?advertItems=eyJhZHZlcnRJZCI6ImYxZGFkYzdiLTQ1YTItNDQwZS04NTRiLTIxMzAzNDcxNDVkNSIsInNvcnRpbmdTY29yZSI6MC4xMTc1MzUwMDA1MTc5NjQzNywiYWRTY29yZSI6MC4wNjI4NTI5NDE0NTM0NTY4OCwiYWRTY29yZXMiOnsiMSI6MC4wNjI4NTI5NDE0NTM0NTY4OCwiMiI6MC4wNjI4NTI5NDE0NTM0NTY4OH0sImNwYyI6MS44NywibWluQ3BjIjowLCJlQ3BjIjoxLjgxMjE3MTA3NjU1MzA4MDUsImFkdmVydFNsb3QiOjIsIm9yZGVyIjozLCJhdHRyaWJ1dGVzIjoiIn0=,50.499 TL,Apple
,Var,,20 - 40 MP,,3,,Var,,,5000-6000 mAh,,,Var,,,,,128 GB,Var,,6.5'' - 7'',6 - 8 inç,,IPS LCD,FHD+,,90 Hz,,FHD+,,,2 Yıl,Xiaomi Türkiye Garantili,,,LCD,Var,,Yok,,50 MP + 8 MP + 2 MP,,,USB Type-C,,4.5G,Yok,,Var,,5000,8 GB,,Gümüş,,Var,,1080p (Full HD),,Var,,,,,,,,,,Var,Yok,1,5 - 10 MP,8 MP,MediaTek,Android,USB Type-C,10-20 W,https://www.trendyol.com//xiaomi/redmi-12-128-gb-8-gb-ram-gumus-cep-telefonu-xiaomi-turkiye-garantili-p-765278800,7.549 TL,Xiaomi
,Var,,10 - 15 MP,,2,,Yok,,,2000-3000 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,iPhone 12,,128 GB,Var,,6'' - 6.5'',"6,1 inç",,OLED,FHD+,,60 Hz,,FHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,OLED,Var,,Var,,10 - 15 MP,,,Lightning,,4.5G,Var,,Yok,,2815,4 GB,Yok,Beyaz,,Var,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Yok,Yok,1,10 - 15 MP,8 - 14 MP,Apple,iOS,Lightning,10-20 W,https://www.trendyol.com//apple/iphone-12-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-65277274?advertItems=eyJhZHZlcnRJZCI6ImYxZGFkYzdiLTQ1YTItNDQwZS04NTRiLTIxMzAzNDcxNDVkNSIsInNvcnRpbmdTY29yZSI6MC4xMDU4MDgyMDA4NzM0MzQ1NSwiYWRTY29yZSI6MC4wNTY1ODE5MjU2MDA3NjcxMzYsImFkU2NvcmVzIjp7IjEiOjAuMDU2NTgxOTI1NjAwNzY3MTM2LCIyIjowLjA1NjU4MTkyNTYwMDc2NzEzNn0sImNwYyI6MS44NywibWluQ3BjIjowLCJlQ3BjIjoxLjQ3NjYxODY2MDY2Njg1NTcsImFkdmVydFNsb3QiOjQsIm9yZGVyIjo1LCJhdHRyaWJ1dGVzIjoiIn0=,28.299 TL,Apple
,Var,,40 - 60 MP,,3,,Var,,,5000-6000 mAh,,,Var,,1.5-2.0 GHz,Reeder S19 Max Pro,,128 GB,Var,,6'' - 6.5'',"6,7 inç",,LCD,HD+,,60 Hz,,HD+,Yok,,2 Yıl,Genpa Garantili,,,LCD,Var,,Yok,,5 - 10 MP,,,3.5 mm,,4.5G,Yok,,Yok,,5000 ve üstü,4 GB,Var,Siyah,,Yok,,720p (HD),,Yok,,,,,,,,,,Var,Yok,1,40 - 60 MP,14 - 20 MP,,Android,USB Type-C,,https://www.trendyol.com//reeder/s19-max-pro-4gb-128-gb-siyah-cep-telefonu-reeder-turkiye-garantili-p-411322828,3.029 TL,Reeder
,Var,,5 - 10 MP,,4,,Yok,,,5000-6000 mAh,,Wi-Fi,Var,,,Redmi 10,,128 GB,Var,,6'' - 6.5'',"4 - 4,5 inç",,LCD,FHD+,,90 Hz,,FHD+,Var,,2 Yıl,Resmi Distribütör Garantili,,,LCD,Var,,Yok,,5 MP ve altı,,,3.5 mm,,4G,Yok,,Var,,1500 ve altı,4 GB,Var,Gri,,Yok,,1080p (Full HD),,Var,,,,,,,,,,Var,Var,1,5 - 10 MP,8 MP,MediaTek,Android,USB Type-C,10-20 W,https://www.trendyol.com//xiaomi/redmi-10-2022-128-gb-4-gb-ram-karbon-grisi-cep-telefonu-xiaomi-turkiye-garantili-p-242166444?advertItems=eyJhZHZlcnRJZCI6Ijc3NzgxNzA2LTc4NDgtNDVkYS04ODM2LTYyMTJiZWNlNDNkNyIsInNvcnRpbmdTY29yZSI6MC4wODI0MTgyODgzNzYxODIzMywiYWRTY29yZSI6MC4wNDc3MjMzODY0MzY3MDA4MiwiYWRTY29yZXMiOnsiMSI6MC4wNDc3MjMzODY0MzY3MDA4MiwiMiI6MC4wNDc3MjMzODY0MzY3MDA4Mn0sImNwYyI6MS43MjcwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAsImVDcGMiOjEuNDg0ODM4NzI1ODc0Njk2LCJhZHZlcnRTbG90Ijo1LCJvcmRlciI6NywiYXR0cmlidXRlcyI6IiJ9,6.099 TL,Xiaomi
,Var,,10 - 15 MP,,3,,Var,,,5000-6000 mAh,,Wi-Fi,Var,,2.0-2.5 GHz,Galaxy M14,,128 GB,Var,,6.5'' - 7'',6 inç ve üstü,,PLS,FHD+,,90 Hz,,FHD+,Var,,2 Yıl,Samsung TR Garantili,,,,Var,,Yok,,20 MP ve üstü,,,3.5 mm,,5G,Yok,,Var,,4000 - 5000,4 GB,Yok,Mavi,,Yok,,1080p (Full HD),,Yok,,,,,,,,,,Var,Yok,1,10 - 15 MP,13 MP,,Android,USB Type-C,20-40 W,https://www.trendyol.com//samsung/galaxy-m14-5g-128-gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-675529311,6.399 TL,Samsung
,Var,,100 -120 MP,,4,,Var,,,5000-6000 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,Redmi Note 12 Pro,,256 GB,Var,,6.5'' - 7'',"6,67 inç",,AMOLED,FHD+,,120 Hz,,FHD+,Var,,2 Yıl,Xiaomi Türkiye Garantili,,,AMOLED,Var,,Yok,,108 MP + 8 MP + 2 MP,,,USB Type-C,,4.5G,Var,,Var,,5000,8 GB,Var,Mavi,,Var,,1080p (Full HD),,Var,,,,,,,,,,Var,Yok,1,15 - 20 MP,16 MP,MediaTek,Android,USB Type-C,60-80 W,https://www.trendyol.com//xiaomi/redmi-note-12-pro-256-gb-8-gb-ram-yildiz-mavisi-cep-telefonu-xiaomi-turkiye-garantili-p-706342571?advertItems=eyJhZHZlcnRJZCI6Ijc3NzgxNzA2LTc4NDgtNDVkYS04ODM2LTYyMTJiZWNlNDNkNyIsInNvcnRpbmdTY29yZSI6MC4wNjk5MDcwNjA0Mjk0NTM4NywiYWRTY29yZSI6MC4wNDA0Nzg5MDAwNzQ5NTg4LCJhZFNjb3JlcyI6eyIxIjowLjA0MDQ3ODkwMDA3NDk1ODgsIjIiOjAuMDQwNDc4OTAwMDc0OTU4OH0sImNwYyI6MS43MjcwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAsImVDcGMiOjEuNjQ2NzM5NDEwNjkzMjU1MSwiYWR2ZXJ0U2xvdCI6Niwib3JkZXIiOjksImF0dHJpYnV0ZXMiOiIifQ==,12.599 TL,Xiaomi
